series id,Name,Rarity,Price,Image
0,Sizzlipede (47),Common,$0.03,https://tcgplayer-cdn.tcgplayer.com/product/253175_25w.jpg
0,Skaters' Park,Uncommon,$0.05,https://tcgplayer-cdn.tcgplayer.com/product/253121_25w.jpg
0,Sliggoo,Uncommon,$0.04,https://tcgplayer-cdn.tcgplayer.com/product/253354_25w.jpg
0,Smeargle,Common,$0.04,https://tcgplayer-cdn.tcgplayer.com/product/253305_25w.jpg
0,Snorlax,Common,$0.09,https://tcgplayer-cdn.tcgplayer.com/product/253301_25w.jpg
0,Spongy Gloves,Uncommon,$0.04,https://tcgplayer-cdn.tcgplayer.com/product/253123_25w.jpg
0,Starmie,Holo Rare,$0.25,https://tcgplayer-cdn.tcgplayer.com/product/253184_25w.jpg
0,Steelix,Holo Rare,$0.22,https://tcgplayer-cdn.tcgplayer.com/product/253346_25w.jpg
0,Swadloon,Uncommon,$0.06,https://tcgplayer-cdn.tcgplayer.com/product/253080_25w.jpg
0,Togedemaru,Uncommon,$0.05,https://tcgplayer-cdn.tcgplayer.com/product/253336_25w.jpg
0,Toxel (105),Common,$0.03,https://tcgplayer-cdn.tcgplayer.com/product/253261_25w.jpg
0,Toxicroak,Rare,$0.14,https://tcgplayer-cdn.tcgplayer.com/product/253380_25w.jpg
0,Toxtricity (108),Holo Rare,$0.31,https://tcgplayer-cdn.tcgplayer.com/product/253264_25w.jpg
0,Trevenant,Uncommon,$0.07,https://tcgplayer-cdn.tcgplayer.com/product/253096_25w.jpg
0,Tsareena V,Ultra Rare,$0.94,https://tcgplayer-cdn.tcgplayer.com/product/253109_25w.jpg
0,Turtonator,Uncommon,$0.07,https://tcgplayer-cdn.tcgplayer.com/product/253358_25w.jpg
0,Tyranitar V,Ultra Rare,$1.22,https://tcgplayer-cdn.tcgplayer.com/product/253372_25w.jpg
0,Vikavolt,Rare,$0.11,https://tcgplayer-cdn.tcgplayer.com/product/253257_25w.jpg
0,Voltorb,Common,$0.03,https://tcgplayer-cdn.tcgplayer.com/product/253243_25w.jpg
0,Vulpix (28),Common,$0.05,https://tcgplayer-cdn.tcgplayer.com/product/253124_25w.jpg
